City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,53.19,94,5,1.01,ZA,1690065078
1,albany,42.6001,-73.9662,81.01,49,1,9.04,US,1690064866
2,husavik,66.0449,-17.3389,47.86,82,84,2.64,IS,1690065079
3,victoria,22.2855,114.1577,85.32,87,51,4.65,HK,1690065010
4,coquimbo,-29.9533,-71.3436,58.73,94,75,8.05,CL,1690064938
5,asau,46.4333,26.4,65.32,84,0,2.91,RO,1690065079
6,bluff,-46.6,168.3333,49.1,89,100,13.6,NZ,1690065079
7,airai,-8.9266,125.4092,57.83,78,50,3.47,TL,1690065079
8,korla,41.7597,86.1469,84.43,26,95,5.95,CN,1690065080
9,leningradskiy,69.3833,178.4167,49.98,82,98,12.46,RU,1690065080
10,iqaluit,63.7506,-68.5145,47.93,87,75,5.75,CA,1690065056
11,ponta do sol,32.6667,-17.1,74.01,69,14,6.44,PT,1690065080
12,oussouye,12.485,-16.5469,82.49,82,24,6.42,SN,1690065080
13,cape town,-33.9258,18.4232,53.1,86,75,3.44,ZA,1690064846
14,punta arenas,-53.15,-70.9167,30.7,82,18,9.6,CL,1690064966
15,port macquarie,-31.4333,152.9167,54.9,67,100,8.32,AU,1690065051
16,mahebourg,-20.4081,57.7,71.89,83,40,8.05,MU,1690065081
17,puerto ayora,-0.7393,-90.3518,85.96,76,34,9.53,EC,1690065081
18,cabo san lucas,22.8909,-109.9124,98.62,46,0,12.66,MX,1690065004
19,yellowknife,62.456,-114.3525,72.12,35,75,10.36,CA,1690065081
20,bafata,12.1667,-14.75,76.33,94,37,4.41,GW,1690065081
21,vuktyl,63.8567,57.3094,54.88,96,28,4.81,RU,1690065081
22,vaini,-21.2,-175.2,73.63,77,20,10.36,TO,1690065082
23,svetlogorsk,52.6333,29.7333,53.51,99,72,5.82,BY,1690065082
24,torbay,47.6666,-52.7314,72.37,85,40,16.11,CA,1690065082
25,constitucion,-35.3333,-72.4167,51.08,86,35,1.83,CL,1690065082
26,khatanga,71.9667,102.5,53.46,53,12,8.7,RU,1690065082
27,busselton,-33.65,115.3333,51.44,83,0,6.8,AU,1690065082
28,tanete,-3.9443,119.7848,74.32,92,77,4.47,ID,1690065082
29,omsukchan,62.5333,155.8,56.19,77,100,8.12,RU,1690065083
30,lebu,-37.6167,-73.65,49.51,87,27,3.67,CL,1690065083
31,ushuaia,-54.8,-68.3,31.66,74,75,12.66,AR,1690065083
32,ozernovskiy,51.5,156.5167,52.83,96,100,7.67,RU,1690065083
33,snina,48.9886,22.151,61.34,90,82,3.94,SK,1690065083
34,upernavik,72.7868,-56.1549,39.92,93,100,11.05,GL,1690065003
